run_id,category,name,source,symbol,priority,rationale
20260519T142302583283Z-de7987ab,stock_price,samsung_electronics,FDR,005930,core,분석 대상 종목 가격과 라벨 생성의 기준
20260519T142302583283Z-de7987ab,stock_price,sk_hynix,FDR,000660,core,분석 대상 종목 가격과 라벨 생성의 기준
20260519T142302583283Z-de7987ab,stock_price,nvidia,yfinance,NVDA,core,분석 대상 종목 가격과 라벨 생성의 기준
20260519T142302583283Z-de7987ab,macro_series,nasdaq,FDR,IXIC,core,미국 기술주 전반 위험선호
20260519T142302583283Z-de7987ab,macro_series,sox,FDR,^SOX,core,반도체 업종 전반 강도
20260519T142302583283Z-de7987ab,macro_series,vix,FDR,VIX,core,시장 변동성 및 위험회피 심리
20260519T142302583283Z-de7987ab,macro_series,us_rate,FRED,FRED:FEDFUNDS,core,미국 기준금리 환경
20260519T142302583283Z-de7987ab,macro_series,usd_krw,FDR,USD/KRW,core,원달러 환율 환경
20260519T142302583283Z-de7987ab,macro,core_macro_features,internal_bundle,"IXIC,^SOX,VIX,FRED:FEDFUNDS,USD/KRW",core,전처리 단계로 넘기는 공식 core macro bundle
20260519T142302583283Z-de7987ab,macro_series,kospi,FDR,KS11,extended,국내 시장 공통 흐름
20260519T142302583283Z-de7987ab,macro_series,kospi200,FDR,KS200,extended,국내 대형주 공통 흐름
20260519T142302583283Z-de7987ab,alpha,samsung_electronics_alpha,PyKRX,005930,extended,국내 종목 외국인/기관 순매수 거래대금 흐름 (KRX credential 필요)
20260519T142302583283Z-de7987ab,alpha,sk_hynix_alpha,PyKRX,000660,extended,국내 종목 외국인/기관 순매수 거래대금 흐름 (KRX credential 필요)
